onset	duration	trial_type	correct
0.03	20	3	0
20.0102	2	2	1
25.0098	2	2	1
32.0097	2	2	1
39.0096	2	2	1
45.0096	2	2	1
57.0094	2	2	1
62.0094	2	2	1
66.0094	2	2	0
70.0093	2	2	0
74.0093	2	2	1
85.0092	2	2	1
92.0091	2	2	1
98.009	2	2	1
105.009	2	2	1
109.0089	2	2	1
115.0089	2	2	1
120.0088	2	1	1
125.0087	2	1	1
132.0086	2	1	1
139.0086	2	1	1
145.0085	2	1	1
155.0084	2	1	1
160.0084	2	1	1
164.0083	2	1	1
170.0082	20	3	0
190.0081	2	2	1
195.008	2	2	1
202.008	2	2	1
206.0079	2	2	1
212.0079	2	2	1
219.0078	2	2	1
231.0077	2	2	1
235.0076	2	2	1
240.0075	2	1	1
247.0075	2	1	1
251.0074	2	1	1
263.0073	2	1	1
268.0073	2	1	1
272.0072	2	1	1
279.0071	2	1	1
284.0071	2	1	1
290.007	2	1	1
294.007	2	1	1
299.0069	2	1	1
305.0069	2	1	1
311.0068	2	1	1
316.0068	2	1	1
320.0067	2	1	1
333.0066	2	1	1
340.0065	20	3	0
