onset	duration	trial_type	correct
0.0246	20	3	0
20.0045	2	1	1
27.0045	2	1	1
33.0044	2	1	1
38.0044	2	1	1
42.0044	2	1	1
48.0043	2	1	1
61.0043	2	1	1
65.0042	2	1	1
70.0046	2	2	0
77.0042	2	2	1
83.0042	2	2	1
87.0042	2	2	1
94.0041	2	2	1
98.0041	2	2	1
110.004	2	2	1
115.004	2	2	0
120.004	2	2	1
125.0039	2	2	1
131.0039	2	2	1
138.0039	2	2	1
149.0038	2	2	1
153.0038	2	2	1
160.0037	2	2	1
166.0037	2	2	1
170.0036	20	3	0
190.0035	2	1	1
197.0035	2	1	1
202.0034	2	1	1
212.0034	2	1	1
219.0033	2	1	1
223.0033	2	1	1
229.0033	2	1	1
234.0032	2	1	1
240.0033	2	2	1
247.0032	2	2	1
251.0032	2	2	0
258.0032	2	2	1
268.0031	2	2	1
273.0031	2	2	1
279.003	2	2	1
284.003	2	2	1
290.0029	2	1	1
297.0029	2	1	1
303.0028	2	1	1
309.0028	2	1	1
320.0027	2	1	0
324.0027	2	1	1
329.0027	2	1	1
336.0026	2	1	1
340.0026	20	3	0
